fid,id_class,id_name,area,perimeter
549,"1",Grass,223.165039062500000,58.132762202431834
550,"3",Coniferous Trees,30.450195312500000,26.975190424972972
552,"3",Coniferous Trees,33.468017578125000,26.164390860129203
553,"3",Coniferous Trees,76.674072265625000,38.726278497403030
555,"3",Coniferous Trees,379.121337890625000,115.510450800867503
557,"3",Coniferous Trees,127.698974609375000,55.959890109876874
560,"3",Coniferous Trees,570.188476562500000,130.987581673271592
561,"2",Broadleaf Trees,157.464599609375000,48.845162972839539
565,"2",Broadleaf Trees,439.334472656250000,89.732684128876770
566,"1",Grass,3172.874511718750000,358.377834373092810
568,"2",Broadleaf Trees,155.406982421875000,46.816880606600449
572,"4",Water,13143.459960937500000,606.205026782547407
573,"1",Grass,2913.500000000000000,362.646660035140656
574,"3",Coniferous Trees,7.543945312500000,13.471151881149014
575,"1",Grass,12935.240722656250000,1277.276853595202056
582,"3",Coniferous Trees,14.813964843750000,16.616619728277961
583,"2",Broadleaf Trees,23.729492187500000,19.442012995557519
585,"3",Coniferous Trees,0.548583984375000,2.962851922010208
586,"3",Coniferous Trees,11.934082031250000,15.435608557545873
587,"3",Coniferous Trees,7.406982421875000,13.484185235840609
588,"3",Coniferous Trees,3355.030761718750000,413.211253289776153
589,"3",Coniferous Trees,311.363037109375000,84.128483307937827
590,"3",Coniferous Trees,106.164550781250000,47.227072198748012
591,"3",Coniferous Trees,49.653564453125000,27.482419130510031
593,"1",Grass,5482.030517578125000,399.754962405686115
594,"1",Grass,886.902832031250000,144.709284729433733
599,"4",Water,8484.682617187500000,559.400977816225918
600,"3",Coniferous Trees,189.972656250000000,72.271379038381269
601,"1",Grass,187.502929687500000,65.220388470106670
605,"1",Grass,171.456787109375000,53.466673961445537
607,"1",Grass,213.975585937500000,56.771535888669142
608,"1",Grass,636.442138671875000,129.627521515083060
610,"3",Coniferous Trees,79.417480468750000,33.891811347859900
611,"3",Coniferous Trees,54.453857421875000,32.874384545899993
612,"1",Grass,65.564208984375000,33.466675215538359
613,"3",Coniferous Trees,9.327392578125000,12.708304772017065
614,"3",Coniferous Trees,0.548583984375000,2.962851921845572
615,"3",Coniferous Trees,100.404785156250000,39.683544151994134
616,"3",Coniferous Trees,33.193603515625000,21.882757666599371
617,"3",Coniferous Trees,166.106201171875000,62.268050903267692
